comp_cine_id,comp_cine_nombre,comp_cine_npantallas,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,comp_cine_calle_numero,comp_cine_colonia,comp_cine_cp,gmaps_longitud,gmaps_latitud
876,Cine Mall,6,26,Sonora,2,Agua Prieta,1,Agua Prieta,Carr. a Janos s/n esq. Av. 15 y 16,Ejidal 1,84259,-109.54746,31.31366
357,Cinemex Plaza Goya,12,26,Sonora,18,Cajeme,1,Ciudad Obregón,Guerrero 1051 Poniente ,Col. Comuripa,85120,-109.95132,27.49375
907,Cinépolis Sendero Obregón,10,26,Sonora,18,Cajeme,1,Ciudad Obregón,Calle Diez núm. 2101,Col. Las Misiones,,-109.91296,27.46987
358,Cinépolis Bella Vista,14,26,Sonora,18,Cajeme,1,Ciudad Obregón,Blvd. Rodolfo Elías Calles 1750 Pte.,Col. Bella Vista,85000,-109.96028,27.48285
875,Cinemex Cananea ,4,26,Sonora,19,Cananea,1,Heroica Ciudad de Cananea,Carr. Agua Prieta Km 2,,84620,-110.2561,30.99751
352,Cinemex Guaymas,8,26,Sonora,29,Guaymas,1,Heroica Guaymas,Blvd. Luis Encinas y Calz. García López s/n,Col. La Quinta,85400,-110.92424,27.92934
874,Cinemex Paseo Solidaridad,8,26,Sonora,30,Hermosillo,1,Hermosillo,Blvd. Solidaridad 650,Col. Libertad,83130,-110.99322,29.11524
760,Cinemex Encinas,11,26,Sonora,30,Hermosillo,1,Hermosillo,Blvd. Jesús García Morales 2,Col. El Llano,,-110.99243,29.092
362,Cinépolis Sendero Hermosillo,10,26,Sonora,30,Hermosillo,1,Hermosillo,Av. Periférico Ote. 1274,Col. Perisur,83290,-110.94002,29.03562
752,Cinépolis Galerías Mall Hermosillo,10,26,Sonora,30,Hermosillo,1,Hermosillo,"Blvd. Cultura 55 Ote., int. Ancla 3",Col. Proyecto Río Sonora,83270,-110.94968,29.06426
359,Cinemex Mirador Hermosillo,9,26,Sonora,30,Hermosillo,1,Hermosillo,Blvd. José López Portillo esq. Juárez 549,Col. Bachoco,83148,-110.95268,29.1263
638,Cinépolis Hermosillo,10,26,Sonora,30,Hermosillo,1,Hermosillo,Blvd. Luis Encinas 227 Pte.,Col. San Benito,83190,-110.96587,29.08857
361,Cinépolis VIP Galerías Mall Hermosillo,4,26,Sonora,30,Hermosillo,1,Hermosillo,"Blvd. Cultura 55 Ote., int. Ancla 3 ",Col. Proyecto Río Sonora,83270,-110.95025,29.06797
360,Cinemex Metro Centro Hermosillo,10,26,Sonora,30,Hermosillo,1,Hermosillo,Blvd. Colosio esq. Periférico Poniente s/n,Col. Villa Satélite,83200,-110.98362,29.08503
635,Cinemex Nacozari,3,26,Sonora,41,Nacozari de García,1,Nacozari de García,Reforma 1,Col. Buenos Aires,84340,-109.6835,30.37717
365,Cinemex Navojoa,8,26,Sonora,42,Navojoa,1,Navojoa,Av. Ignacio Pesquería 807 Norte,Col. Reforma,,-109.44634,27.09166
364,Cinépolis Nogales Mall,12,26,Sonora,43,Nogales,1,Heroica Nogales,Blvd. El Greco 45,Col. El Greco,84066,-110.94053,31.29132
756,Citicinemas Puerto Peñasco,6,26,Sonora,48,Puerto Peñasco,1,Puerto Peñasco,Av. 9 Luis Encinas 61,Col. Recinto Portuario,83554,-113.54251,31.3052
366,Cinépolis San Luis Río Colorado,8,26,Sonora,55,San Luis Río Colorado,1,San Luis Río Colorado,Av. Colima 2508,Col. Campestre,83499,-114.76091,32.4466
438,Cinemex Cárdenas,7,27,Tabasco,2,Cárdenas,1,Cárdenas,Periferico Carlos Molina 589 esq. Carr. Fed. Cárdenas - Huimanguillo,Ranchería Paso Playa,,-93.37635,17.97474
699,Cinépolis Plaza Deportiva,8,27,Tabasco,4,Centro,1,Villahermosa,Av. Heróico Colegio Militar s/n,Col. Atasta,86100,-92.94303,17.98034
701,Cinépolis Sendero Villahermosa,8,27,Tabasco,4,Centro,1,Villahermosa,Circuito Interior Carlos Pellicer Cámara 1020,Col. José María Pino Suárez,86029,-92.91308,18.02014
391,Cinemex Guayabal,10,27,Tabasco,4,Centro,1,Villahermosa,Periférico Carlos Pellicer Cámara 205,Col. Guayabal ,,-92.92226,17.97222
392,Cinépolis Las Américas,12,27,Tabasco,4,Centro,1,Villahermosa,Ramón Mendoza Herrera 102,Col. El Recreo,86020,-92.91907,18.01538
698,Cinépolis San Joaquín,5,27,Tabasco,4,Centro,1,Villahermosa,Periférico Carlos Pellicer Cámara 1059,Col. 18 de Marzo,86140,-92.97009,17.9688
390,Cinépolis VIP Villahermosa,4,27,Tabasco,4,Centro,1,Villahermosa,Av. Adolfo Ruíz Cortines 1840,Col. Carrizal,86038,-92.96562,17.98884
393,Cinépolis Villahermosa,15,27,Tabasco,4,Centro,1,Villahermosa,Av. Adolfo Ruiz Cortines 1840,Col. Carrizal,86038,-92.96563,17.98884
770,Cinemex Altabrisa Platino ,5,27,Tabasco,4,Centro,1,Villahermosa, Periférico Carlos Pellicer Cámara N°129,Col. 1ro De Mayo ,86190,-92.94101,17.96551
769,Cinemex Altabrisa ,10,27,Tabasco,4,Centro,1,Villahermosa,Periférico Carlos Pellicer Cámara N°129,Col. 1ro De Mayo ,86190,-92.941,17.96551
705,Cinépolis Comalcalco,5,27,Tabasco,5,Comalcalco,1,Comalcalco,Blvd. Adolfo López Mateos 102,Col. Santo Domingo,86340,-93.21864,18.26742
774,Cinépolis Paseo Cunduacán,3,27,Tabasco,6,Cunduacán,1,Cunduacán,Av. Periférico 52,Centro ,86690,-93.17691,18.06701
828, Cinemex Huimanguillo ,3,27,Tabasco,8,Huimanguillo,1,Huimanguillo,Calle General Ignacio Gutiérrez 155,Centro,86400,-93.39743,17.83228
706,Cinépolis Chedrahui Macuspana,5,27,Tabasco,12,Macuspana,1,Macuspana,Esq. Juárez y Alatorre s/n,Col. Centro,86706,-92.58839,17.76314
775,Cinépolis Plaza Crystal Paraíso,5,27,Tabasco,14,Paraíso,1,Paraíso,Blvd. Manuel Antonio Romero Zurita s/n,Col. Paraíso,86605,-93.20641,18.39837
707,CineStars ,3,27,Tabasco,16,Teapa,1,Teapa,Dr. Eduardo Payró 104,Centro,86800,-92.95223,17.5518
368,Cinemex Mante,5,28,Tamaulipas,21,El Mante,1,Ciudad Mante,Vicente Guerrero 900 Oriente,Villa de Juárez,89860,-98.96167,22.74257
776,Cinépolis Plaza Fiesta,15,28,Tamaulipas,22,Matamoros,1,Heroica Matamoros,Av. Pedro Cárdenas 110,Fracc. Victoria,87390,-97.50449,25.8497
